model,model_label,dataset,dataset_label,strategy,strategy_label,error_rate,sign_class,ok,delta_mcc,p_value
dmpnn,D-MPNN,PAMPA_NCATS,PAMPA,min_oob_error,MinE,30,1,True,0.03143364755017583,0.01923370361328125
dmpnn,D-MPNN,PAMPA_NCATS,PAMPA,min_oob_error,MinE,40,1,True,0.10524572461750367,1.9073486328125e-06
dmpnn,D-MPNN,PAMPA_NCATS,PAMPA,max_oob_error,MaxE,0,0,True,-0.01960058305031276,0.15364646911621094
dmpnn,D-MPNN,PAMPA_NCATS,PAMPA,max_oob_error,MaxE,10,0,True,-0.016599340151742303,0.24548721313476562
dmpnn,D-MPNN,PAMPA_NCATS,PAMPA,max_oob_error,MaxE,20,1,True,0.06620297414992998,0.0001678466796875
dmpnn,D-MPNN,PAMPA_NCATS,PAMPA,max_oob_error,MaxE,30,0,True,0.018425641661532655,0.17685317993164062
dmpnn,D-MPNN,PAMPA_NCATS,PAMPA,max_oob_error,MaxE,40,1,True,0.0764606197903975,3.814697265625e-06
dmpnn,D-MPNN,PAMPA_NCATS,PAMPA,min_oob_uncertainty,MinU,0,1,True,0.03138192406094273,0.04405403137207031
dmpnn,D-MPNN,PAMPA_NCATS,PAMPA,min_oob_uncertainty,MinU,10,0,True,0.018705126323693616,0.09730720520019531
dmpnn,D-MPNN,PAMPA_NCATS,PAMPA,min_oob_uncertainty,MinU,20,1,True,0.11392669663471355,3.814697265625e-06
dmpnn,D-MPNN,PAMPA_NCATS,PAMPA,min_oob_uncertainty,MinU,30,0,True,0.026442350464203304,0.14290618896484375
dmpnn,D-MPNN,PAMPA_NCATS,PAMPA,min_oob_uncertainty,MinU,40,1,True,0.09491174632364545,1.9073486328125e-06
dmpnn,D-MPNN,PAMPA_NCATS,PAMPA,max_oob_uncertainty,MaxU,0,0,True,0.028885290880003245,0.082550048828125
dmpnn,D-MPNN,PAMPA_NCATS,PAMPA,max_oob_uncertainty,MaxU,10,0,True,0.012204914385333887,0.3117942810058594
dmpnn,D-MPNN,PAMPA_NCATS,PAMPA,max_oob_uncertainty,MaxU,20,1,True,0.10507732236067494,5.7220458984375e-06
dmpnn,D-MPNN,PAMPA_NCATS,PAMPA,max_oob_uncertainty,MaxU,30,0,True,0.02370418005834994,0.1230926513671875
