dataset,dataset_label,model,learning_progress,mcc_mean,mcc_std,n_seeds,available_trajectories
pgp_broccatelli,Pgp,Random Forest,0.743801652892562,0.20834013354910894,0.129569827520781,20,20
pgp_broccatelli,Pgp,Random Forest,2.396694214876033,0.3461930100531173,0.1376419914904181,20,20
pgp_broccatelli,Pgp,Random Forest,4.049586776859504,0.4661406530813645,0.05727064008703518,20,20
pgp_broccatelli,Pgp,Random Forest,5.702479338842975,0.4976136243388362,0.06482067812685759,20,20
pgp_broccatelli,Pgp,Random Forest,7.355371900826446,0.5429319232887341,0.049007827013861506,20,20
pgp_broccatelli,Pgp,Random Forest,9.008264462809917,0.5512947829161783,0.05868575052490901,20,20
pgp_broccatelli,Pgp,Random Forest,10.661157024793388,0.5700725923319789,0.05632258281977326,20,20
pgp_broccatelli,Pgp,Random Forest,12.314049586776859,0.5775006575710944,0.05194154509784888,20,20
pgp_broccatelli,Pgp,Random Forest,13.96694214876033,0.5930545858871257,0.053584113754698307,20,20
pgp_broccatelli,Pgp,Random Forest,15.619834710743802,0.6096935389186457,0.050893972316785975,20,20
pgp_broccatelli,Pgp,Random Forest,17.272727272727273,0.6125402416406095,0.04869922427757324,20,20
pgp_broccatelli,Pgp,Random Forest,18.925619834710744,0.6170622248923602,0.04856510960720798,20,20
pgp_broccatelli,Pgp,Random Forest,20.578512396694215,0.6266761823363421,0.04623997909651253,20,20
pgp_broccatelli,Pgp,Random Forest,22.231404958677686,0.6350188479590716,0.05218432528946354,20,20
pgp_broccatelli,Pgp,Random Forest,23.884297520661157,0.6385939037817401,0.047069127487853385,20,20
pgp_broccatelli,Pgp,Random Forest,25.537190082644628,0.6395267479888191,0.045927775809268184,20,20
pgp_broccatelli,Pgp,Random Forest,27.1900826446281,0.6481381413960381,0.04730319106001192,20,20
pgp_broccatelli,Pgp,Random Forest,28.84297520661157,0.6492505903470793,0.04742930220969984,20,20
pgp_broccatelli,Pgp,Random Forest,30.49586776859504,0.6539782986505822,0.04413603137520026,20,20
pgp_broccatelli,Pgp,Random Forest,32.14876033057851,0.657553678987302,0.045362161837696424,20,20
pgp_broccatelli,Pgp,Random Forest,33.80165289256198,0.6589842611830123,0.04850646072453631,20,20
pgp_broccatelli,Pgp,Random Forest,35.45454545454545,0.6616883892542547,0.04398495875272813,20,20
pgp_broccatelli,Pgp,Random Forest,37.107438016528924,0.6637853590061407,0.044557414986614655,20,20
pgp_broccatelli,Pgp,Random Forest,38.760330578512395,0.6660071170365793,0.045499318764854746,20,20
