figure,rf_set,rf_label,dataset,dataset_label,strategy,strategy_label,start_percent,significant,smal_better,delta_auc,p_value,n,sign_class
figureS2,rf-n100-d10,100/10,pgp_broccatelli,Pgp,random,Random,10,True,True,0.723290723700196,0.0031528472900390625,20,1
figureS2,rf-n100-d10,100/10,pgp_broccatelli,Pgp,first,First,10,True,True,0.7594007035183636,0.0042209625244140625,20,1
figureS2,rf-n100-d10,100/10,pgp_broccatelli,Pgp,min_oob_error,MinE,10,True,True,0.9548426305275811,0.000209808349609375,20,1
figureS2,rf-n100-d10,100/10,pgp_broccatelli,Pgp,max_oob_error,MaxE,10,False,True,0.2589401542895807,0.40909767150878906,20,0
figureS2,rf-n100-d10,100/10,pgp_broccatelli,Pgp,min_oob_uncertainty,MinU,10,True,True,0.6475734866561499,0.00365447998046875,20,1
figureS2,rf-n100-d10,100/10,pgp_broccatelli,Pgp,max_oob_uncertainty,MaxU,10,True,True,1.0619358612873513,0.0001678466796875,20,1
figureS2,rf-n100-d10,100/10,PAMPA_NCATS,PAMPA,random,Random,10,True,True,0.9552541206803561,6.29425048828125e-05,20,1
figureS2,rf-n100-d10,100/10,PAMPA_NCATS,PAMPA,first,First,10,True,True,0.8672337043345962,8.20159912109375e-05,20,1
figureS2,rf-n100-d10,100/10,PAMPA_NCATS,PAMPA,min_oob_error,MinE,10,True,True,0.6341698897196972,0.021484375,20,1
figureS2,rf-n100-d10,100/10,PAMPA_NCATS,PAMPA,max_oob_error,MaxE,10,True,True,2.12073270642762,8.20159912109375e-05,20,1
figureS2,rf-n100-d10,100/10,PAMPA_NCATS,PAMPA,min_oob_uncertainty,MinU,10,True,True,0.9171847769766028,0.0003223419189453125,20,1
figureS2,rf-n100-d10,100/10,PAMPA_NCATS,PAMPA,max_oob_uncertainty,MaxU,10,False,True,0.9786923099654523,0.05316925048828125,20,0
figureS2,rf-n100-d10,100/10,MDR1_MDCK_classification2,MDR1-MDCK,random,Random,10,True,True,2.177948532115793,1.9073486328125e-06,20,1
figureS2,rf-n100-d10,100/10,MDR1_MDCK_classification2,MDR1-MDCK,first,First,10,True,True,2.074747921647035,1.9073486328125e-06,20,1
figureS2,rf-n100-d10,100/10,MDR1_MDCK_classification2,MDR1-MDCK,min_oob_error,MinE,10,True,True,2.181243659008321,1.9073486328125e-06,20,1
figureS2,rf-n100-d10,100/10,MDR1_MDCK_classification2,MDR1-MDCK,max_oob_error,MaxE,10,True,False,-1.7282020250596468,1.9073486328125e-06,20,-1
figureS2,rf-n100-d10,100/10,MDR1_MDCK_classification2,MDR1-MDCK,min_oob_uncertainty,MinU,10,True,True,2.0711804045968725,1.9073486328125e-06,20,1
figureS2,rf-n100-d10,100/10,MDR1_MDCK_classification2,MDR1-MDCK,max_oob_uncertainty,MaxU,10,True,True,2.3544694568472018,1.9073486328125e-06,20,1
figureS2,rf-n100-d20,100/20,pgp_broccatelli,Pgp,random,Random,10,True,True,0.4816794116359066,0.0010166168212890625,20,1
figureS2,rf-n100-d20,100/20,pgp_broccatelli,Pgp,first,First,10,True,True,0.4641809406754874,0.0031528472900390625,20,1
figureS2,rf-n100-d20,100/20,pgp_broccatelli,Pgp,min_oob_error,MinE,10,True,True,0.6281775688535202,1.9073486328125e-05,20,1
figureS2,rf-n100-d20,100/20,pgp_broccatelli,Pgp,max_oob_error,MaxE,10,False,False,-0.01124766073487038,0.8983173370361328,20,0
figureS2,rf-n100-d20,100/20,pgp_broccatelli,Pgp,min_oob_uncertainty,MinU,10,True,True,0.5089225096377049,0.0003223419189453125,20,1
figureS2,rf-n100-d20,100/20,pgp_broccatelli,Pgp,max_oob_uncertainty,MaxU,10,True,True,0.3855425535014977,0.04405403137207031,20,1
figureS2,rf-n100-d20,100/20,PAMPA_NCATS,PAMPA,random,Random,10,True,True,0.3424221104804983,0.0042209625244140625,20,1
figureS2,rf-n100-d20,100/20,PAMPA_NCATS,PAMPA,first,First,10,True,True,0.3942217757956606,0.0002613067626953125,20,1
