model,model_label,dataset,dataset_label,error_rate,strategy,strategy_label,mean,std,count,full_mcc,complete_panel
dmpnn,D-MPNN,CYP3A4_Veith,CYP3A4,10,max_oob_error,MaxE,0.5457604265125305,0.023231020259132765,20,0.5507104320500527,True
dmpnn,D-MPNN,CYP3A4_Veith,CYP3A4,10,max_oob_uncertainty,MaxU,0.5356609346296748,0.021947071352463016,20,0.5507104320500527,True
dmpnn,D-MPNN,CYP3A4_Veith,CYP3A4,10,min_oob_error,MinE,0.5305281188509732,0.021284734774000728,20,0.5507104320500527,True
dmpnn,D-MPNN,CYP3A4_Veith,CYP3A4,10,min_oob_uncertainty,MinU,0.5401209865580138,0.017490775215088752,20,0.5507104320500527,True
dmpnn,D-MPNN,CYP3A4_Veith,CYP3A4,10,random,Random,0.5387178082033521,0.024930965652041674,20,0.5507104320500527,True
dmpnn,D-MPNN,CYP3A4_Veith,CYP3A4,20,first,First,0.46625439809283425,0.023167574270262867,20,0.476460371005522,True
dmpnn,D-MPNN,CYP3A4_Veith,CYP3A4,20,max_oob_error,MaxE,0.48821025508393784,0.02961785308440384,20,0.476460371005522,True
dmpnn,D-MPNN,CYP3A4_Veith,CYP3A4,20,max_oob_uncertainty,MaxU,0.46511335286607236,0.025909099975760415,20,0.476460371005522,True
dmpnn,D-MPNN,CYP3A4_Veith,CYP3A4,20,min_oob_error,MinE,0.4624589326804351,0.021625691706613194,20,0.476460371005522,True
dmpnn,D-MPNN,CYP3A4_Veith,CYP3A4,20,min_oob_uncertainty,MinU,0.4726754150278339,0.025213945952746473,20,0.476460371005522,True
dmpnn,D-MPNN,CYP3A4_Veith,CYP3A4,20,random,Random,0.46677871493713247,0.025931703148701378,20,0.476460371005522,True
dmpnn,D-MPNN,CYP3A4_Veith,CYP3A4,30,first,First,0.3729320430794281,0.02711410578220375,20,0.3452196790431042,True
dmpnn,D-MPNN,CYP3A4_Veith,CYP3A4,30,max_oob_error,MaxE,0.417868273161471,0.030039542956995232,20,0.3452196790431042,True
dmpnn,D-MPNN,CYP3A4_Veith,CYP3A4,30,max_oob_uncertainty,MaxU,0.3695879380843781,0.025039740161333725,20,0.3452196790431042,True
dmpnn,D-MPNN,CYP3A4_Veith,CYP3A4,30,min_oob_error,MinE,0.34905824112660727,0.021287984240415742,20,0.3452196790431042,True
dmpnn,D-MPNN,CYP3A4_Veith,CYP3A4,30,min_oob_uncertainty,MinU,0.3653417887925545,0.030655173211148225,20,0.3452196790431042,True
dmpnn,D-MPNN,CYP3A4_Veith,CYP3A4,30,random,Random,0.3662195546256596,0.03198332815821028,20,0.3452196790431042,True
dmpnn,D-MPNN,CYP3A4_Veith,CYP3A4,40,first,First,0.24077777030996525,0.04621008928586322,20,0.1893164310643846,True
dmpnn,D-MPNN,CYP3A4_Veith,CYP3A4,40,max_oob_error,MaxE,0.29371473989688907,0.03742104984841063,20,0.1893164310643846,True
dmpnn,D-MPNN,CYP3A4_Veith,CYP3A4,40,max_oob_uncertainty,MaxU,0.23744634101829107,0.040168370758399574,20,0.1893164310643846,True
