source,error_rate,dataset,dataset_label,strategy,strategy_label,method,n_seeds,figure_id,rf_set,rf_label,learning_progress,mcc_mean,mcc_std
rf_parameter_sets,0,pgp_broccatelli,Pgp,baseline,baseline,al,20,figureS1,rf-n50-d10,50/10,33.98144963219098,0.6220127640208845,0.047107389101707337
rf_parameter_sets,0,pgp_broccatelli,Pgp,baseline,baseline,al,20,figureS1,rf-n50-d10,50/10,34.64163513586907,0.627102311574905,0.03645612880562028
rf_parameter_sets,0,pgp_broccatelli,Pgp,baseline,baseline,al,20,figureS1,rf-n50-d10,50/10,35.46686701546668,0.6240730352665017,0.0436670655048231
rf_parameter_sets,0,pgp_broccatelli,Pgp,baseline,baseline,al,20,figureS1,rf-n50-d10,50/10,36.127052519144776,0.6221534869082153,0.035362033296962955
rf_parameter_sets,0,pgp_broccatelli,Pgp,baseline,baseline,al,20,figureS1,rf-n50-d10,50/10,36.952284398742385,0.6255330005088757,0.03819519124738345
rf_parameter_sets,0,pgp_broccatelli,Pgp,baseline,baseline,al,20,figureS1,rf-n50-d10,50/10,37.61246990242048,0.6331323227435728,0.040518416490346994
rf_parameter_sets,0,pgp_broccatelli,Pgp,baseline,baseline,al,20,figureS1,rf-n50-d10,50/10,38.43770178201809,0.6310920312771736,0.04172726690203676
rf_parameter_sets,0,pgp_broccatelli,Pgp,baseline,baseline,al,20,figureS1,rf-n50-d10,50/10,39.09788728569618,0.6267861749172502,0.05468108389404186
rf_parameter_sets,0,pgp_broccatelli,Pgp,baseline,baseline,al,20,figureS1,rf-n50-d10,50/10,39.92311916529379,0.6357607419680684,0.0384899467813724
rf_parameter_sets,0,pgp_broccatelli,Pgp,baseline,baseline,al,20,figureS1,rf-n50-d10,50/10,40.74835104489141,0.6257249708406728,0.04328027801179088
rf_parameter_sets,0,pgp_broccatelli,Pgp,baseline,baseline,al,20,figureS1,rf-n50-d10,50/10,41.408536548569494,0.6316450959017165,0.035482457826616166
rf_parameter_sets,0,pgp_broccatelli,Pgp,baseline,baseline,al,20,figureS1,rf-n50-d10,50/10,42.23376842816711,0.6366066241279774,0.05453521431911681
rf_parameter_sets,0,pgp_broccatelli,Pgp,baseline,baseline,al,20,figureS1,rf-n50-d10,50/10,42.893953931845196,0.6372049940168718,0.059743401218629096
rf_parameter_sets,0,pgp_broccatelli,Pgp,baseline,baseline,al,20,figureS1,rf-n50-d10,50/10,43.71918581144281,0.635318761500907,0.054320239958809205
rf_parameter_sets,0,pgp_broccatelli,Pgp,baseline,baseline,al,20,figureS1,rf-n50-d10,50/10,44.3793713151209,0.6408797972920455,0.042991707919182665
rf_parameter_sets,0,pgp_broccatelli,Pgp,baseline,baseline,al,20,figureS1,rf-n50-d10,50/10,45.204603194718516,0.6455481657363686,0.050317199927193426
rf_parameter_sets,0,pgp_broccatelli,Pgp,baseline,baseline,al,20,figureS1,rf-n50-d10,50/10,45.8647886983966,0.6354191905833966,0.0536922064182087
rf_parameter_sets,0,pgp_broccatelli,Pgp,baseline,baseline,al,20,figureS1,rf-n50-d10,50/10,46.69002057799422,0.6347598653788653,0.048025389886393086
rf_parameter_sets,0,pgp_broccatelli,Pgp,baseline,baseline,al,20,figureS1,rf-n50-d10,50/10,47.51525245759183,0.6360996312668732,0.04719355006712721
rf_parameter_sets,0,pgp_broccatelli,Pgp,baseline,baseline,al,20,figureS1,rf-n50-d10,50/10,48.17543796126992,0.6221326845146702,0.06274620687824875
rf_parameter_sets,0,pgp_broccatelli,Pgp,baseline,baseline,al,20,figureS1,rf-n50-d10,50/10,49.00066984086753,0.6332140946177236,0.045441539270303026
rf_parameter_sets,0,pgp_broccatelli,Pgp,baseline,baseline,al,20,figureS1,rf-n50-d10,50/10,49.660855344545624,0.6258499093439441,0.04873539067051053
rf_parameter_sets,0,pgp_broccatelli,Pgp,baseline,baseline,al,20,figureS1,rf-n50-d10,50/10,50.48608722414323,0.6331705439270076,0.047517131602475296
rf_parameter_sets,0,pgp_broccatelli,Pgp,baseline,baseline,al,20,figureS1,rf-n50-d10,50/10,51.14627272782133,0.6407897648980436,0.051330731803835294
rf_parameter_sets,0,pgp_broccatelli,Pgp,baseline,baseline,al,20,figureS1,rf-n50-d10,50/10,51.971504607418936,0.6420901721692168,0.04774579206503629
rf_parameter_sets,0,pgp_broccatelli,Pgp,baseline,baseline,al,20,figureS1,rf-n50-d10,50/10,52.63169011109703,0.6353371071874884,0.0487286881004095
rf_parameter_sets,0,pgp_broccatelli,Pgp,baseline,baseline,al,20,figureS1,rf-n50-d10,50/10,53.45692199069464,0.6377756317158925,0.04705084240877539
rf_parameter_sets,0,pgp_broccatelli,Pgp,baseline,baseline,al,20,figureS1,rf-n50-d10,50/10,54.11710749437273,0.6379932725345113,0.049085387150783054
rf_parameter_sets,0,pgp_broccatelli,Pgp,baseline,baseline,al,20,figureS1,rf-n50-d10,50/10,54.94233937397034,0.6289690780792923,0.0517681139688012
rf_parameter_sets,0,pgp_broccatelli,Pgp,baseline,baseline,al,20,figureS1,rf-n50-d10,50/10,55.76757125356796,0.6335583220152813,0.049733948136564114
rf_parameter_sets,0,pgp_broccatelli,Pgp,baseline,baseline,al,20,figureS1,rf-n50-d10,50/10,56.427756757246044,0.6292702059965494,0.05193218047135348
rf_parameter_sets,0,pgp_broccatelli,Pgp,baseline,baseline,al,20,figureS1,rf-n50-d10,50/10,57.25298863684366,0.6299756092974726,0.05642689342144069
rf_parameter_sets,0,pgp_broccatelli,Pgp,baseline,baseline,al,20,figureS1,rf-n50-d10,50/10,57.91317414052175,0.6240317324502194,0.04286273930586051
rf_parameter_sets,0,pgp_broccatelli,Pgp,baseline,baseline,al,20,figureS1,rf-n50-d10,50/10,58.73840602011936,0.6276139003483033,0.04508197439521627
rf_parameter_sets,0,pgp_broccatelli,Pgp,baseline,baseline,al,20,figureS1,rf-n50-d10,50/10,59.39859152379745,0.6352656564632075,0.0445061440025456
rf_parameter_sets,0,pgp_broccatelli,Pgp,baseline,baseline,al,20,figureS1,rf-n50-d10,50/10,60.223823403395066,0.637099207067173,0.04826018602765995
rf_parameter_sets,0,pgp_broccatelli,Pgp,baseline,baseline,al,20,figureS1,rf-n50-d10,50/10,60.88400890707315,0.6260625413945582,0.05125490878461373
rf_parameter_sets,0,pgp_broccatelli,Pgp,baseline,baseline,al,20,figureS1,rf-n50-d10,50/10,61.70924078667077,0.6401973743527939,0.05117458178452528
rf_parameter_sets,0,pgp_broccatelli,Pgp,baseline,baseline,al,20,figureS1,rf-n50-d10,50/10,62.369426290348855,0.6387344868078554,0.04942526805093299
rf_parameter_sets,0,pgp_broccatelli,Pgp,baseline,baseline,al,20,figureS1,rf-n50-d10,50/10,63.19465816994647,0.6259753174955568,0.05661993809651824
rf_parameter_sets,0,pgp_broccatelli,Pgp,baseline,baseline,al,20,figureS1,rf-n50-d10,50/10,64.01989004954409,0.6300204188098931,0.046459132507529304
rf_parameter_sets,0,pgp_broccatelli,Pgp,baseline,baseline,al,20,figureS1,rf-n50-d10,50/10,64.68007555322218,0.6293157099428778,0.043960689281257945
rf_parameter_sets,0,pgp_broccatelli,Pgp,baseline,baseline,al,20,figureS1,rf-n50-d10,50/10,65.50530743281979,0.6248524682760457,0.0422965561247737
rf_parameter_sets,0,pgp_broccatelli,Pgp,baseline,baseline,al,20,figureS1,rf-n50-d10,50/10,66.16549293649788,0.6231021487022379,0.047567107674755686
rf_parameter_sets,0,pgp_broccatelli,Pgp,baseline,baseline,al,20,figureS1,rf-n50-d10,50/10,66.9907248160955,0.62703706537269,0.04839114602933116
rf_parameter_sets,0,pgp_broccatelli,Pgp,baseline,baseline,al,20,figureS1,rf-n50-d10,50/10,67.65091031977359,0.629543740537766,0.04855633472292074
rf_parameter_sets,0,pgp_broccatelli,Pgp,baseline,baseline,al,20,figureS1,rf-n50-d10,50/10,68.4761421993712,0.6233064055508055,0.04834528549842162
rf_parameter_sets,0,pgp_broccatelli,Pgp,baseline,baseline,al,20,figureS1,rf-n50-d10,50/10,69.13632770304929,0.6312030066719636,0.05121745141375149
rf_parameter_sets,0,pgp_broccatelli,Pgp,baseline,baseline,al,20,figureS1,rf-n50-d10,50/10,69.9615595826469,0.6210865324409937,0.04990931438259763
rf_parameter_sets,0,pgp_broccatelli,Pgp,baseline,baseline,al,20,figureS1,rf-n50-d10,50/10,70.78679146224451,0.6315214317901955,0.050404710241716055
rf_parameter_sets,0,pgp_broccatelli,Pgp,baseline,baseline,al,20,figureS1,rf-n50-d10,50/10,71.4469769659226,0.6307562567067363,0.0466571450899943
