source,dataset,dataset_label,strategy,strategy_label,error_rate,target_error_rate,seed,introduced_error_pct,final_error_pct,error_reduction,shuffle_fraction
initial,pgp_broccatelli,Pgp,random,Random,10,10.0,0,9.852216748768473,9.742120343839542,0.11009640492893169,
initial,pgp_broccatelli,Pgp,random,Random,10,10.0,1,9.852216748768473,9.455587392550143,0.3966293562183303,
initial,pgp_broccatelli,Pgp,random,Random,10,10.0,2,9.852216748768473,9.455587392550143,0.3966293562183303,
initial,pgp_broccatelli,Pgp,random,Random,10,10.0,3,9.852216748768473,9.455587392550143,0.3966293562183303,
initial,pgp_broccatelli,Pgp,random,Random,10,10.0,4,9.852216748768473,9.742120343839542,0.11009640492893169,
initial,pgp_broccatelli,Pgp,random,Random,10,10.0,5,9.852216748768473,8.595988538681947,1.256228210086526,
initial,pgp_broccatelli,Pgp,random,Random,10,10.0,6,9.852216748768473,10.315186246418339,-0.4629694976498655,
initial,pgp_broccatelli,Pgp,random,Random,10,10.0,7,9.852216748768473,8.022922636103152,1.8292941126653215,
initial,pgp_broccatelli,Pgp,random,Random,10,10.0,8,9.852216748768473,9.455587392550143,0.3966293562183303,
initial,pgp_broccatelli,Pgp,random,Random,10,10.0,9,9.852216748768473,11.74785100286533,-1.8956342540968567,
initial,pgp_broccatelli,Pgp,random,Random,10,10.0,10,9.852216748768473,7.4498567335243555,2.402360015244118,
initial,pgp_broccatelli,Pgp,random,Random,10,10.0,11,9.852216748768473,9.455587392550143,0.3966293562183303,
initial,pgp_broccatelli,Pgp,random,Random,10,10.0,12,9.852216748768473,8.882521489971348,0.9696952587971257,
initial,pgp_broccatelli,Pgp,random,Random,10,10.0,13,9.852216748768473,9.169054441260744,0.6831623075077289,
initial,pgp_broccatelli,Pgp,random,Random,10,10.0,14,9.852216748768473,9.169054441260744,0.6831623075077289,
initial,pgp_broccatelli,Pgp,random,Random,10,10.0,15,9.852216748768473,8.595988538681947,1.256228210086526,
initial,pgp_broccatelli,Pgp,random,Random,10,10.0,16,9.852216748768473,8.30945558739255,1.542761161375923,
initial,pgp_broccatelli,Pgp,random,Random,10,10.0,17,9.852216748768473,10.888252148997136,-1.0360354002286627,
initial,pgp_broccatelli,Pgp,random,Random,10,10.0,18,9.852216748768473,10.888252148997136,-1.0360354002286627,
initial,pgp_broccatelli,Pgp,random,Random,10,10.0,19,9.852216748768473,7.736389684813753,2.11582706395472,
initial,pgp_broccatelli,Pgp,random,Random,20,20.0,0,19.868637110016422,19.484240687679083,0.38439642233733906,
initial,pgp_broccatelli,Pgp,random,Random,20,20.0,1,19.868637110016422,20.34383954154728,-0.47520243153085673,
initial,pgp_broccatelli,Pgp,random,Random,20,20.0,2,19.868637110016422,19.197707736389685,0.6709293736267377,
initial,pgp_broccatelli,Pgp,random,Random,20,20.0,3,19.868637110016422,23.78223495702006,-3.9135978470036363,
initial,pgp_broccatelli,Pgp,random,Random,20,20.0,4,19.868637110016422,18.624641833810887,1.2439952762055349,
initial,pgp_broccatelli,Pgp,random,Random,20,20.0,5,19.868637110016422,17.478510028653297,2.3901270813631257,
initial,pgp_broccatelli,Pgp,random,Random,20,20.0,6,19.868637110016422,18.911174785100286,0.9574623249161363,
initial,pgp_broccatelli,Pgp,random,Random,20,20.0,7,19.868637110016422,14.899713467048711,4.968923642967711,
initial,pgp_broccatelli,Pgp,random,Random,20,20.0,8,19.868637110016422,18.05157593123209,1.817061178784332,
initial,pgp_broccatelli,Pgp,random,Random,20,20.0,9,19.868637110016422,19.770773638968482,0.09786347104794046,
initial,pgp_broccatelli,Pgp,random,Random,20,20.0,10,19.868637110016422,18.911174785100286,0.9574623249161363,
initial,pgp_broccatelli,Pgp,random,Random,20,20.0,11,19.868637110016422,19.197707736389685,0.6709293736267377,
initial,pgp_broccatelli,Pgp,random,Random,20,20.0,12,19.868637110016422,19.197707736389685,0.6709293736267377,
initial,pgp_broccatelli,Pgp,random,Random,20,20.0,13,19.868637110016422,20.057306590257877,-0.18866948024145458,
initial,pgp_broccatelli,Pgp,random,Random,20,20.0,14,19.868637110016422,20.34383954154728,-0.47520243153085673,
initial,pgp_broccatelli,Pgp,random,Random,20,20.0,15,19.868637110016422,18.05157593123209,1.817061178784332,
initial,pgp_broccatelli,Pgp,random,Random,20,20.0,16,19.868637110016422,19.484240687679083,0.38439642233733906,
initial,pgp_broccatelli,Pgp,random,Random,20,20.0,17,19.868637110016422,20.057306590257877,-0.18866948024145458,
initial,pgp_broccatelli,Pgp,random,Random,20,20.0,18,19.868637110016422,21.48997134670487,-1.6213342366884476,
initial,pgp_broccatelli,Pgp,random,Random,20,20.0,19,19.868637110016422,20.916905444126073,-1.0482683341096504,
initial,pgp_broccatelli,Pgp,random,Random,30,30.0,0,29.88505747126437,31.16883116883117,-1.2837736975667973,
initial,pgp_broccatelli,Pgp,random,Random,30,30.0,1,29.88505747126437,29.35064935064935,0.5344081206150229,
initial,pgp_broccatelli,Pgp,random,Random,30,30.0,2,29.88505747126437,29.61038961038961,0.2746678608747608,
initial,pgp_broccatelli,Pgp,random,Random,30,30.0,3,29.88505747126437,31.68831168831169,-1.8032542170473178,
initial,pgp_broccatelli,Pgp,random,Random,30,30.0,4,29.88505747126437,29.09090909090909,0.7941483803552813,
initial,pgp_broccatelli,Pgp,random,Random,30,30.0,5,29.88505747126437,28.05194805194805,1.8331094193163224,
initial,pgp_broccatelli,Pgp,random,Random,30,30.0,6,29.88505747126437,28.57142857142857,1.3136288998358019,
initial,pgp_broccatelli,Pgp,random,Random,30,30.0,7,29.88505747126437,27.79220779220779,2.092849679056581,
initial,pgp_broccatelli,Pgp,random,Random,30,30.0,8,29.88505747126437,28.57142857142857,1.3136288998358019,
initial,pgp_broccatelli,Pgp,random,Random,30,30.0,9,29.88505747126437,31.428571428571427,-1.5435139573070558,
initial,pgp_broccatelli,Pgp,random,Random,30,30.0,10,29.88505747126437,28.05194805194805,1.8331094193163224,
initial,pgp_broccatelli,Pgp,random,Random,30,30.0,11,29.88505747126437,27.27272727272727,2.6123301985371015,
initial,pgp_broccatelli,Pgp,random,Random,30,30.0,12,29.88505747126437,27.79220779220779,2.092849679056581,
initial,pgp_broccatelli,Pgp,random,Random,30,30.0,13,29.88505747126437,34.285714285714285,-4.400656814449913,
initial,pgp_broccatelli,Pgp,random,Random,30,30.0,14,29.88505747126437,29.09090909090909,0.7941483803552813,
initial,pgp_broccatelli,Pgp,random,Random,30,30.0,15,29.88505747126437,28.83116883116883,1.0538886400955398,
initial,pgp_broccatelli,Pgp,random,Random,30,30.0,16,29.88505747126437,29.61038961038961,0.2746678608747608,
initial,pgp_broccatelli,Pgp,random,Random,30,30.0,17,29.88505747126437,29.87012987012987,0.01492760113450231,
initial,pgp_broccatelli,Pgp,random,Random,30,30.0,18,29.88505747126437,33.506493506493506,-3.6214360352291344,
initial,pgp_broccatelli,Pgp,random,Random,30,30.0,19,29.88505747126437,28.31168831168831,1.5733691595760604,
initial,pgp_broccatelli,Pgp,random,Random,40,40.0,0,39.90147783251231,40.04914004914005,-0.1476622166277366,
initial,pgp_broccatelli,Pgp,random,Random,40,40.0,1,39.90147783251231,40.54054054054054,-0.6390627080282272,
initial,pgp_broccatelli,Pgp,random,Random,40,40.0,2,39.90147783251231,40.54054054054054,-0.6390627080282272,
initial,pgp_broccatelli,Pgp,random,Random,40,40.0,3,39.90147783251231,40.54054054054054,-0.6390627080282272,
initial,pgp_broccatelli,Pgp,random,Random,40,40.0,4,39.90147783251231,40.78624078624078,-0.8847629537284689,
initial,pgp_broccatelli,Pgp,random,Random,40,40.0,5,39.90147783251231,40.04914004914005,-0.1476622166277366,
initial,pgp_broccatelli,Pgp,random,Random,40,40.0,6,39.90147783251231,38.82063882063882,1.0808390118734934,
initial,pgp_broccatelli,Pgp,random,Random,40,40.0,7,39.90147783251231,39.55773955773956,0.343738274772754,
initial,pgp_broccatelli,Pgp,random,Random,40,40.0,8,39.90147783251231,39.06633906633907,0.8351387661732446,
initial,pgp_broccatelli,Pgp,random,Random,40,40.0,9,39.90147783251231,38.32923832923833,1.572239503273984,
initial,pgp_broccatelli,Pgp,random,Random,40,40.0,10,39.90147783251231,38.32923832923833,1.572239503273984,
initial,pgp_broccatelli,Pgp,random,Random,40,40.0,11,39.90147783251231,37.83783783783784,2.0636399946744746,
initial,pgp_broccatelli,Pgp,random,Random,40,40.0,12,39.90147783251231,37.83783783783784,2.0636399946744746,
initial,pgp_broccatelli,Pgp,random,Random,40,40.0,13,39.90147783251231,40.78624078624078,-0.8847629537284689,
initial,pgp_broccatelli,Pgp,random,Random,40,40.0,14,39.90147783251231,40.2948402948403,-0.39336246232798544,
initial,pgp_broccatelli,Pgp,random,Random,40,40.0,15,39.90147783251231,39.55773955773956,0.343738274772754,
initial,pgp_broccatelli,Pgp,random,Random,40,40.0,16,39.90147783251231,40.2948402948403,-0.39336246232798544,
initial,pgp_broccatelli,Pgp,random,Random,40,40.0,17,39.90147783251231,38.82063882063882,1.0808390118734934,
initial,pgp_broccatelli,Pgp,random,Random,40,40.0,18,39.90147783251231,41.27764127764127,-1.3761634451289595,
initial,pgp_broccatelli,Pgp,random,Random,40,40.0,19,39.90147783251231,38.57493857493858,1.3265392575737351,
initial,pgp_broccatelli,Pgp,first,First,10,10.0,0,9.852216748768473,8.595988538681947,1.256228210086526,
initial,pgp_broccatelli,Pgp,first,First,10,10.0,1,9.852216748768473,10.028653295128938,-0.17643654636046513,
initial,pgp_broccatelli,Pgp,first,First,10,10.0,2,9.852216748768473,8.30945558739255,1.542761161375923,
initial,pgp_broccatelli,Pgp,first,First,10,10.0,3,9.852216748768473,9.742120343839542,0.11009640492893169,
initial,pgp_broccatelli,Pgp,first,First,10,10.0,4,9.852216748768473,10.888252148997136,-1.0360354002286627,
initial,pgp_broccatelli,Pgp,first,First,10,10.0,5,9.852216748768473,8.882521489971348,0.9696952587971257,
initial,pgp_broccatelli,Pgp,first,First,10,10.0,6,9.852216748768473,10.315186246418339,-0.4629694976498655,
initial,pgp_broccatelli,Pgp,first,First,10,10.0,7,9.852216748768473,7.736389684813753,2.11582706395472,
initial,pgp_broccatelli,Pgp,first,First,10,10.0,8,9.852216748768473,9.742120343839542,0.11009640492893169,
initial,pgp_broccatelli,Pgp,first,First,10,10.0,9,9.852216748768473,11.461318051575931,-1.6091013028074581,
initial,pgp_broccatelli,Pgp,first,First,10,10.0,10,9.852216748768473,8.30945558739255,1.542761161375923,
initial,pgp_broccatelli,Pgp,first,First,10,10.0,11,9.852216748768473,8.882521489971348,0.9696952587971257,
initial,pgp_broccatelli,Pgp,first,First,10,10.0,12,9.852216748768473,10.315186246418339,-0.4629694976498655,
initial,pgp_broccatelli,Pgp,first,First,10,10.0,13,9.852216748768473,11.174785100286533,-1.3225683515180595,
initial,pgp_broccatelli,Pgp,first,First,10,10.0,14,9.852216748768473,9.742120343839542,0.11009640492893169,
initial,pgp_broccatelli,Pgp,first,First,10,10.0,15,9.852216748768473,9.169054441260744,0.6831623075077289,
initial,pgp_broccatelli,Pgp,first,First,10,10.0,16,9.852216748768473,8.882521489971348,0.9696952587971257,
initial,pgp_broccatelli,Pgp,first,First,10,10.0,17,9.852216748768473,9.742120343839542,0.11009640492893169,
initial,pgp_broccatelli,Pgp,first,First,10,10.0,18,9.852216748768473,10.315186246418339,-0.4629694976498655,
initial,pgp_broccatelli,Pgp,first,First,10,10.0,19,9.852216748768473,8.595988538681947,1.256228210086526,
initial,pgp_broccatelli,Pgp,first,First,20,20.0,0,19.868637110016422,18.05157593123209,1.817061178784332,
initial,pgp_broccatelli,Pgp,first,First,20,20.0,1,19.868637110016422,20.630372492836678,-0.7617353828202553,
initial,pgp_broccatelli,Pgp,first,First,20,20.0,2,19.868637110016422,19.484240687679083,0.38439642233733906,
initial,pgp_broccatelli,Pgp,first,First,20,20.0,3,19.868637110016422,23.20916905444126,-3.340531944424839,
initial,pgp_broccatelli,Pgp,first,First,20,20.0,4,19.868637110016422,19.197707736389685,0.6709293736267377,
initial,pgp_broccatelli,Pgp,first,First,20,20.0,5,19.868637110016422,18.624641833810887,1.2439952762055349,
initial,pgp_broccatelli,Pgp,first,First,20,20.0,6,19.868637110016422,19.484240687679083,0.38439642233733906,
