error_rate,dataset,strategy,delta_auc,p_value,n,category
0,CHEMBL1945-1,max_oob_uncertainty,0.03883201510988812,0.4304332733154297,20,no_difference
0,CHEMBL1945-1,min_oob_error,-0.01583170554308282,0.9272785186767578,20,no_difference
0,CHEMBL1945-1,min_oob_uncertainty,0.20920930491482323,0.11398696899414062,20,no_difference
0,CHEMBL1945-1,random,0.011190603954218049,0.7841262817382812,20,no_difference
0,CHEMBL1946-1,first,0.003608178016787278,0.956329345703125,20,no_difference
0,CHEMBL1946-1,max_oob_error,-0.1962460051566257,1.33514404296875e-05,20,worse
0,CHEMBL1946-1,max_oob_uncertainty,-0.016858798661496976,0.7561664581298828,20,no_difference
0,CHEMBL1946-1,min_oob_error,0.011952684850214368,0.7561664581298828,20,no_difference
0,CHEMBL1946-1,min_oob_uncertainty,-2.2123651665140186e-05,0.8694877624511719,20,no_difference
0,CHEMBL1946-1,random,0.013960728513683662,0.7011814117431641,20,no_difference
0,CHEMBL2014-1,first,0.020864925992116666,0.11398696899414062,20,no_difference
0,CHEMBL2014-1,max_oob_error,0.00761408013997773,0.8408222198486328,20,no_difference
0,CHEMBL2014-1,max_oob_uncertainty,0.007297705880027294,0.17685317993164062,20,no_difference
0,CHEMBL2014-1,min_oob_error,0.02748863558877055,0.0758514404296875,20,no_difference
0,CHEMBL2014-1,min_oob_uncertainty,0.030263144592845313,0.039989471435546875,20,better
0,CHEMBL2014-1,random,0.010002640634209392,0.5958194732666016,20,no_difference
0,CHEMBL2035-1,first,0.6277755781108805,0.0005855560302734375,20,better
0,CHEMBL2035-1,max_oob_error,1.1047018166045166,6.29425048828125e-05,20,better
0,CHEMBL2035-1,max_oob_uncertainty,0.7864237038217663,0.000133514404296875,20,better
0,CHEMBL2035-1,min_oob_error,0.415963357372992,0.01923370361328125,20,better
0,CHEMBL2035-1,min_oob_uncertainty,0.9459105356027695,1.9073486328125e-06,20,better
0,CHEMBL2035-1,random,0.5917712831106925,0.0007076263427734375,20,better
0,CHEMBL2056-1,first,0.9757863629923982,1.9073486328125e-06,20,better
0,CHEMBL2056-1,max_oob_error,0.8664196052353912,0.0007076263427734375,20,better
0,CHEMBL2056-1,max_oob_uncertainty,0.8884851965072198,0.0007076263427734375,20,better
0,CHEMBL2056-1,min_oob_error,0.8571997178672245,3.814697265625e-06,20,better
0,CHEMBL2056-1,min_oob_uncertainty,1.1517375162547112,1.9073486328125e-06,20,better
0,CHEMBL2056-1,random,0.9374845317463496,3.814697265625e-06,20,better
0,CHEMBL210-1,first,0.8001524548686586,0.005580902099609375,20,better
0,CHEMBL210-1,max_oob_error,1.5514236885892536,0.0019855499267578125,20,better
0,CHEMBL210-1,max_oob_uncertainty,0.1227206351635882,0.21616744995117188,20,no_difference
0,CHEMBL210-1,min_oob_error,0.11715709448205551,0.5458755493164062,20,no_difference
0,CHEMBL210-1,min_oob_uncertainty,1.795365471103865,3.814697265625e-06,20,better
0,CHEMBL210-1,random,0.7917810648437748,0.012079238891601562,20,better
0,CHEMBL211-1,first,0.27248492027756727,0.4304332733154297,20,no_difference
0,CHEMBL211-1,max_oob_error,-1.741722058558405,0.0042209625244140625,20,worse
0,CHEMBL211-1,max_oob_uncertainty,0.7702057400023733,0.11398696899414062,20,no_difference
0,CHEMBL211-1,min_oob_error,0.6272515234811266,0.0758514404296875,20,no_difference
0,CHEMBL211-1,min_oob_uncertainty,0.33957613963712563,0.2942523956298828,20,no_difference
0,CHEMBL211-1,random,0.06262549639039569,0.36827659606933594,20,no_difference
0,CHEMBL214-1,first,0.004834721584640533,0.956329345703125,20,no_difference
0,CHEMBL214-1,max_oob_error,-0.6251190366150905,2.6702880859375e-05,20,worse
0,CHEMBL214-1,max_oob_uncertainty,0.00046135391733947984,0.9272785186767578,20,no_difference
0,CHEMBL214-1,min_oob_error,0.046134489778658506,0.956329345703125,20,no_difference
0,CHEMBL214-1,min_oob_uncertainty,-0.08218256038855358,0.082550048828125,20,no_difference
0,CHEMBL214-1,random,0.06813946073091941,0.5705966949462891,20,no_difference
0,CHEMBL216-1,first,-0.056661394482988924,0.7561664581298828,20,no_difference
0,CHEMBL216-1,max_oob_error,-0.4505686070332722,0.002712249755859375,20,worse
0,CHEMBL216-1,max_oob_uncertainty,-0.02485805062517592,0.956329345703125,20,no_difference
0,CHEMBL216-1,min_oob_error,0.02724280928281786,0.7841262817382812,20,no_difference
0,CHEMBL216-1,min_oob_uncertainty,0.012203712319269755,0.7011814117431641,20,no_difference
0,CHEMBL216-1,random,-0.05447962452667774,0.5958194732666016,20,no_difference
0,CHEMBL217-1,first,0.01331222942957595,0.7011814117431641,20,no_difference
0,CHEMBL217-1,max_oob_error,0.024791030818238014,0.1893482208251953,20,no_difference
0,CHEMBL217-1,max_oob_uncertainty,0.004392239596526792,0.8983173370361328,20,no_difference
0,CHEMBL217-1,min_oob_error,0.004686874539703822,0.8408222198486328,20,no_difference
0,CHEMBL217-1,min_oob_uncertainty,0.014735021234294621,0.5216732025146484,20,no_difference
0,CHEMBL217-1,random,0.007336147528782533,0.9854354858398438,20,no_difference
0,CHEMBL218-1,first,0.19651640092134848,0.17685317993164062,20,no_difference
0,CHEMBL218-1,max_oob_error,0.39949059826586575,0.023950576782226562,20,better
0,CHEMBL218-1,max_oob_uncertainty,0.28933538097736855,0.039989471435546875,20,better
0,CHEMBL218-1,min_oob_error,0.15741303877063473,0.26109886169433594,20,no_difference
0,CHEMBL218-1,min_oob_uncertainty,0.42133745098771874,0.00485992431640625,20,better
0,CHEMBL218-1,random,0.27816995846799203,0.06372261047363281,20,no_difference
0,CHEMBL219-1,first,0.16684503852898516,0.0023250579833984375,20,better
0,CHEMBL219-1,max_oob_error,-0.44049240261098566,8.20159912109375e-05,20,worse
0,CHEMBL219-1,max_oob_uncertainty,0.0757754645117572,0.17685317993164062,20,no_difference
0,CHEMBL219-1,min_oob_error,0.22970119317532323,0.001209259033203125,20,better
0,CHEMBL219-1,min_oob_uncertainty,0.17567906545355533,0.009435653686523438,20,better
0,CHEMBL219-1,random,0.10728755070645199,0.15364646911621094,20,no_difference
0,CHEMBL219-2,first,-0.012194511091876591,0.1893482208251953,20,no_difference
0,CHEMBL219-2,max_oob_error,-0.015039760050407126,0.058258056640625,20,no_difference
0,CHEMBL219-2,max_oob_uncertainty,-0.019089748179634113,0.03623390197753906,20,worse
0,CHEMBL219-2,min_oob_error,-0.0011338613571517443,0.6476554870605469,20,no_difference
0,CHEMBL219-2,min_oob_uncertainty,-0.0013573270479039223,0.6215133666992188,20,no_difference
0,CHEMBL219-2,random,-0.006822592388510884,0.5460878490645904,20,no_difference
0,CHEMBL222-1,first,-0.09554527381464126,0.7285060882568359,20,no_difference
0,CHEMBL222-1,max_oob_error,0.13680013052480824,0.15364646911621094,20,no_difference
0,CHEMBL222-1,max_oob_uncertainty,0.011425556169487549,0.8408222198486328,20,no_difference
0,CHEMBL222-1,min_oob_error,0.06974266646706831,0.40909767150878906,20,no_difference
0,CHEMBL222-1,min_oob_uncertainty,-0.011918508945522533,0.7285060882568359,20,no_difference
