dataset,protocol,seed,value,metric
pgp_broccatelli,min_oob_error,19,0.6523231773010711,mcc
pgp_broccatelli,max_oob_error,0,0.667923681821325,mcc
pgp_broccatelli,max_oob_error,1,0.6877978950670601,mcc
pgp_broccatelli,max_oob_error,2,0.6550827350502447,mcc
pgp_broccatelli,max_oob_error,3,0.6549368604135346,mcc
pgp_broccatelli,max_oob_error,4,0.7134354290883822,mcc
pgp_broccatelli,max_oob_error,5,0.5833071127071672,mcc
pgp_broccatelli,max_oob_error,6,0.6564842063714665,mcc
pgp_broccatelli,max_oob_error,7,0.6324023189519948,mcc
pgp_broccatelli,max_oob_error,8,0.6056209954744223,mcc
pgp_broccatelli,max_oob_error,9,0.6261917482715418,mcc
pgp_broccatelli,max_oob_error,10,0.6572048588139264,mcc
pgp_broccatelli,max_oob_error,11,0.5904486200322893,mcc
pgp_broccatelli,max_oob_error,12,0.5183730160692618,mcc
pgp_broccatelli,max_oob_error,13,0.6663103761339295,mcc
pgp_broccatelli,max_oob_error,14,0.6809179099981275,mcc
pgp_broccatelli,max_oob_error,15,0.6691551619728628,mcc
pgp_broccatelli,max_oob_error,16,0.6228016788835399,mcc
pgp_broccatelli,max_oob_error,17,0.6475514294512771,mcc
pgp_broccatelli,max_oob_error,18,0.6913927005696848,mcc
pgp_broccatelli,max_oob_error,19,0.6334832589127312,mcc
pgp_broccatelli,min_oob_uncertainty,0,0.7026430696995563,mcc
pgp_broccatelli,min_oob_uncertainty,1,0.710736384594584,mcc
pgp_broccatelli,min_oob_uncertainty,2,0.655135930383949,mcc
pgp_broccatelli,min_oob_uncertainty,3,0.6924417261123947,mcc
pgp_broccatelli,min_oob_uncertainty,4,0.7296921727593779,mcc
pgp_broccatelli,min_oob_uncertainty,5,0.6355628452389814,mcc
pgp_broccatelli,min_oob_uncertainty,6,0.7110756379670663,mcc
pgp_broccatelli,min_oob_uncertainty,7,0.5966094303140708,mcc
pgp_broccatelli,min_oob_uncertainty,8,0.6389118921639485,mcc
pgp_broccatelli,min_oob_uncertainty,9,0.6538101931561313,mcc
pgp_broccatelli,min_oob_uncertainty,10,0.7012171986450454,mcc
pgp_broccatelli,min_oob_uncertainty,11,0.6252442187826276,mcc
pgp_broccatelli,min_oob_uncertainty,12,0.55643279542271,mcc
pgp_broccatelli,min_oob_uncertainty,13,0.7022463518516401,mcc
pgp_broccatelli,min_oob_uncertainty,14,0.7287431974380023,mcc
pgp_broccatelli,min_oob_uncertainty,15,0.67392569583969,mcc
pgp_broccatelli,min_oob_uncertainty,16,0.6319825159325347,mcc
pgp_broccatelli,min_oob_uncertainty,17,0.6228190046783704,mcc
pgp_broccatelli,min_oob_uncertainty,18,0.6958823138092256,mcc
pgp_broccatelli,min_oob_uncertainty,19,0.6523231773010711,mcc
pgp_broccatelli,max_oob_uncertainty,0,0.6920363396846898,mcc
pgp_broccatelli,max_oob_uncertainty,1,0.6489265298507915,mcc
pgp_broccatelli,max_oob_uncertainty,2,0.6404642209550861,mcc
pgp_broccatelli,max_oob_uncertainty,3,0.6376533165537719,mcc
pgp_broccatelli,max_oob_uncertainty,4,0.7564460130506362,mcc
pgp_broccatelli,max_oob_uncertainty,5,0.6164116771687634,mcc
pgp_broccatelli,max_oob_uncertainty,6,0.707009488466533,mcc
pgp_broccatelli,max_oob_uncertainty,7,0.6003199367873875,mcc
pgp_broccatelli,max_oob_uncertainty,8,0.6568883518567482,mcc
pgp_broccatelli,max_oob_uncertainty,9,0.6698674670367823,mcc
pgp_broccatelli,max_oob_uncertainty,10,0.6657775262840917,mcc
pgp_broccatelli,max_oob_uncertainty,11,0.6154603863374313,mcc
pgp_broccatelli,max_oob_uncertainty,12,0.5478124332825796,mcc
pgp_broccatelli,max_oob_uncertainty,13,0.6884662980865945,mcc
pgp_broccatelli,max_oob_uncertainty,14,0.7194823984576841,mcc
pgp_broccatelli,max_oob_uncertainty,15,0.6772165914040604,mcc
pgp_broccatelli,max_oob_uncertainty,16,0.6234486527248542,mcc
pgp_broccatelli,max_oob_uncertainty,17,0.6549675210529635,mcc
pgp_broccatelli,max_oob_uncertainty,18,0.6819777107192566,mcc
pgp_broccatelli,max_oob_uncertainty,19,0.649475316616659,mcc
PAMPA_NCATS,al,0,0.1717011803651456,mcc
PAMPA_NCATS,al,1,0.2060891946193674,mcc
PAMPA_NCATS,al,2,0.2003892858561027,mcc
PAMPA_NCATS,al,3,0.2069076337720546,mcc
PAMPA_NCATS,al,4,0.1308971132984652,mcc
PAMPA_NCATS,al,5,0.1126729434393494,mcc
PAMPA_NCATS,al,6,0.1615713413872712,mcc
PAMPA_NCATS,al,7,0.1582632366252062,mcc
PAMPA_NCATS,al,8,0.1384446709688349,mcc
PAMPA_NCATS,al,9,0.1536761351936578,mcc
PAMPA_NCATS,al,10,0.0777833646358483,mcc
PAMPA_NCATS,al,11,0.1605554670988285,mcc
PAMPA_NCATS,al,12,0.2297331210194245,mcc
PAMPA_NCATS,al,13,0.1761977308731121,mcc
PAMPA_NCATS,al,14,0.1903233966840402,mcc
PAMPA_NCATS,al,15,0.181042665388581,mcc
PAMPA_NCATS,al,16,0.1959787806645062,mcc
PAMPA_NCATS,al,17,0.0833413871877411,mcc
PAMPA_NCATS,al,18,0.1180149388781651,mcc
PAMPA_NCATS,al,19,0.1869507547193767,mcc
PAMPA_NCATS,pl,0,0.1499428850619958,mcc
PAMPA_NCATS,pl,1,0.0610067809087038,mcc
PAMPA_NCATS,pl,2,0.1240492781472802,mcc
PAMPA_NCATS,pl,3,0.2300731042740696,mcc
PAMPA_NCATS,pl,4,0.0844752971161793,mcc
PAMPA_NCATS,pl,5,0.1845329159441696,mcc
PAMPA_NCATS,pl,6,0.0651112797234658,mcc
PAMPA_NCATS,pl,7,0.1282701922605918,mcc
PAMPA_NCATS,pl,8,0.1085533629890562,mcc
PAMPA_NCATS,pl,9,0.1001865621307489,mcc
PAMPA_NCATS,pl,10,0.1592690536215968,mcc
PAMPA_NCATS,pl,11,0.1494647065005184,mcc
PAMPA_NCATS,pl,12,0.1782449171136084,mcc
PAMPA_NCATS,pl,13,0.1149037023805672,mcc
PAMPA_NCATS,pl,14,0.2178680832769225,mcc
PAMPA_NCATS,pl,15,0.1502612579422713,mcc
