dataset,dataset_label,model,trajectory_seeds,available_trajectories,final_mcc_mean,final_mcc_std,max_mcc_mean,max_mcc_iter,auc_mean_curve,runtime_n,runtime_mean_hours,runtime_std_hours
pgp_broccatelli,Pgp,Random Forest,20,20,0.6482999168630373,0.044966155869158024,0.675237826812152,317,62.79909981203258,10,0.1633888888888889,0.03205865252386773
pgp_broccatelli,Pgp,D-MPNN,20,20,0.5697996937512234,0.05889062853773958,0.5923123674040981,540,49.33588622840586,20,6.066875,0.9625036217369394
pgp_broccatelli,Pgp,MolFormer,20,20,0.4595629901883765,0.05546435087270186,0.4887546168235555,486,40.54531410068257,20,12.823486111111109,0.5665547237426642
MDR1_MDCK_classification2,MDR1-MDCK,Random Forest,20,20,0.4313584919077744,0.03183272780557248,0.4923235410004064,682,41.75869674685672,10,0.41980555555555554,0.07607664016192142
MDR1_MDCK_classification2,MDR1-MDCK,D-MPNN,20,20,0.5619722012264311,0.031269984378019144,0.5802750258356352,1093,42.567437858738415,20,36.13011111111111,14.184116128415598
MDR1_MDCK_classification2,MDR1-MDCK,MolFormer,19,19,0.3396879865539869,0.03257209439514564,0.3620150893212373,780,32.26044205806291,19,47.618333333333325,17.871802833107996
PAMPA_NCATS,PAMPA,Random Forest,20,20,0.16479350606918738,0.04093289935566471,0.1903444533641633,420,15.460410865531655,10,0.3389722222222222,0.07429550814729109
PAMPA_NCATS,PAMPA,D-MPNN,17,20,0.27215640868308544,0.03737825493727466,0.28480079019086774,731,20.501836225714992,17,21.561846405228756,6.645383474079232
PAMPA_NCATS,PAMPA,MolFormer,20,20,0.150706042325581,0.10774214984936253,0.23503094586400497,678,17.756731066051607,20,32.575041666666664,3.776912779663248
