source,error_rate,dataset,dataset_label,strategy,strategy_label,delta_auc,p_value,n,sign_class
initial,10,MDR1_MDCK_classification2,MDR1-MDCK,min_oob_error,MinE,0.36264672910192386,0.001689910888671875,20,1
initial,10,MDR1_MDCK_classification2,MDR1-MDCK,max_oob_error,MaxE,-0.9063300631743341,3.814697265625e-06,20,-1
initial,10,MDR1_MDCK_classification2,MDR1-MDCK,min_oob_uncertainty,MinU,0.3089356976737445,0.0003948211669921875,20,1
initial,10,MDR1_MDCK_classification2,MDR1-MDCK,max_oob_uncertainty,MaxU,0.1601499508135106,0.023950576782226562,20,1
initial,10,ames,Ames,random,Random,0.046570843924485315,0.0042209625244140625,20,1
initial,10,ames,Ames,first,First,0.04910595205256474,0.0002613067626953125,20,1
initial,10,ames,Ames,min_oob_error,MinE,0.022046101501058502,0.09730720520019531,20,0
initial,10,ames,Ames,max_oob_error,MaxE,0.09770746471600181,0.0004825592041015625,20,1
initial,10,ames,Ames,min_oob_uncertainty,MinU,0.06120992776536234,0.00365447998046875,20,1
initial,10,ames,Ames,max_oob_uncertainty,MaxU,0.05071943873348417,0.005580902099609375,20,1
initial,10,CYP3A4_Veith,CYP3A4,random,Random,-0.015576417665868193,0.09730720520019531,20,0
initial,10,CYP3A4_Veith,CYP3A4,first,First,-0.01508687863722571,0.11398696899414062,20,0
initial,10,CYP3A4_Veith,CYP3A4,min_oob_error,MinE,-0.021251888006869633,0.20244979858398438,20,0
initial,10,CYP3A4_Veith,CYP3A4,max_oob_error,MaxE,0.046436492746787295,0.0005855560302734375,20,1
initial,10,CYP3A4_Veith,CYP3A4,min_oob_uncertainty,MinU,-0.01681846710445285,0.21616744995117188,20,0
initial,10,CYP3A4_Veith,CYP3A4,max_oob_uncertainty,MaxU,-0.017328071647052922,0.16495704650878906,20,0
initial,10,CYP2D6_Veith,CYP2D6,random,Random,1.016554972812481,5.7220458984375e-06,20,1
initial,10,CYP2D6_Veith,CYP2D6,first,First,0.9921854741027918,1.9073486328125e-06,20,1
initial,10,CYP2D6_Veith,CYP2D6,min_oob_error,MinE,0.6271172134833904,0.0001678466796875,20,1
initial,10,CYP2D6_Veith,CYP2D6,max_oob_error,MaxE,-1.6547933992309993,1.9073486328125e-06,20,-1
initial,10,CYP2D6_Veith,CYP2D6,min_oob_uncertainty,MinU,0.9795322024297295,1.9073486328125e-06,20,1
initial,10,CYP2D6_Veith,CYP2D6,max_oob_uncertainty,MaxU,1.0085311614561874,3.814697265625e-06,20,1
initial,20,pgp_broccatelli,Pgp,random,Random,0.4245661746589612,0.069580078125,20,0
initial,20,pgp_broccatelli,Pgp,first,First,0.30362460412760583,0.1893482208251953,20,0
initial,20,pgp_broccatelli,Pgp,min_oob_error,MinE,-0.02420331953452113,0.956329345703125,20,0
initial,20,pgp_broccatelli,Pgp,max_oob_error,MaxE,1.0334608012657545,8.20159912109375e-05,20,1
initial,20,pgp_broccatelli,Pgp,min_oob_uncertainty,MinU,0.44648493392492516,0.001209259033203125,20,1
initial,20,pgp_broccatelli,Pgp,max_oob_uncertainty,MaxU,0.3770903500895205,0.069580078125,20,0
initial,20,PAMPA_NCATS,PAMPA,random,Random,0.25120369012045973,0.10539817810058594,20,0
initial,20,PAMPA_NCATS,PAMPA,first,First,0.20251300839170794,0.08969497680664062,20,0
initial,20,PAMPA_NCATS,PAMPA,min_oob_error,MinE,0.09718029741473277,0.26109886169433594,20,0
initial,20,PAMPA_NCATS,PAMPA,max_oob_error,MaxE,0.32511792939031736,0.08969497680664062,20,0
