dataset,error,metric,smal_strategy,sampler,sampler_label,n_seeds,smal_metric_mean,smal_metric_std,static_metric_mean,static_metric_std,smal_minus_static_metric_mean,smal_minus_static_metric_median,smal_win_rate,wilcoxon_greater_p
CYP2D6_Veith,0,mcc,max_oob_error,all_knn,AllKNN,20,0.44107021759059994,0.0197347335533218,0.4500338357507777,0.016080443845308188,-0.008963618160177687,-0.010688007647943087,0.2,0.9963521957397461
CYP2D6_Veith,0,mcc,max_oob_error,balanced,Balanced,20,0.44107021759059994,0.0197347335533218,0.39876505490335,0.014302977150111557,0.04230516268725003,0.04038143378926026,1.0,9.5367431640625e-07
CYP2D6_Veith,0,mcc,max_oob_error,balanced_diverse,Balanced Diverse,20,0.44107021759059994,0.0197347335533218,0.4005994099633104,0.015656914608927583,0.04047080762728961,0.0413955661852877,0.95,1.9073486328125e-06
CYP2D6_Veith,0,mcc,max_oob_error,condensed_nearest_neighbour,CondensedNN,20,0.44107021759059994,0.0197347335533218,0.45968933016596736,0.01753280644782292,-0.01861911257536741,-0.014436258718396294,0.15,0.9999685287475586
CYP2D6_Veith,0,mcc,max_oob_error,diverse,Diverse,20,0.44107021759059994,0.0197347335533218,0.16808907950572255,0.02957964109628521,0.27298113808487745,0.2714463469585731,1.0,9.5367431640625e-07
CYP2D6_Veith,0,mcc,max_oob_error,diverse_balanced,Diverse Balanced,20,0.44107021759059994,0.0197347335533218,0.37649916772876424,0.01628071335950027,0.06457104986183573,0.06398394580559805,1.0,9.5367431640625e-07
CYP2D6_Veith,0,mcc,max_oob_error,edited_nearest_neighbours,EditedNN,20,0.44107021759059994,0.0197347335533218,0.449287383347416,0.01742148150781407,-0.008217165756816113,-0.008073652976622436,0.25,0.9946556091308594
CYP2D6_Veith,0,mcc,max_oob_error,full,Full Model,20,0.44107021759059994,0.0197347335533218,0.40151969829014017,0.01821791206289119,0.03955051930045992,0.03826280665923612,1.0,9.5367431640625e-07
CYP2D6_Veith,0,mcc,max_oob_error,instance_hardness_threshold,InstanceHardness,20,0.44107021759059994,0.0197347335533218,0.2959813244883156,0.022885367570447995,0.14508889310228437,0.13943166961771122,1.0,9.5367431640625e-07
CYP2D6_Veith,0,mcc,max_oob_error,near_miss,NearMiss,20,0.44107021759059994,0.0197347335533218,0.2082350975593573,0.03617316250555696,0.2328351200312427,0.2379893760939015,1.0,9.5367431640625e-07
CYP2D6_Veith,0,mcc,max_oob_error,neighbourhood_cleaning_rule,NeighbourhoodCleaning,20,0.44107021759059994,0.0197347335533218,0.45247423219972494,0.018261889380935526,-0.011404014609124935,-0.01285202989287812,0.05,0.9997587203979492
CYP2D6_Veith,0,mcc,max_oob_error,one_sided_selection,OneSidedSelection,20,0.44107021759059994,0.0197347335533218,0.41586959713323723,0.018827964497471466,0.02520062045736271,0.02613419891028823,0.95,1.9073486328125e-06
CYP2D6_Veith,0,mcc,max_oob_error,random,Random,20,0.44107021759059994,0.0197347335533218,0.3142810043087088,0.027552854760061283,0.12678921328189122,0.12826911122341922,1.0,9.5367431640625e-07
CYP2D6_Veith,0,mcc,max_oob_error,random_over_sampler,RandomOverSampler,20,0.44107021759059994,0.0197347335533218,0.4625973890817835,0.016768753486358555,-0.021527171491183435,-0.023217474803699456,0.1,0.9999971389770508
CYP2D6_Veith,0,mcc,max_oob_error,random_under_sampler,RandomUnderSampler,20,0.44107021759059994,0.0197347335533218,0.42224245362711155,0.012987546878434264,0.018827763963488363,0.016231128189951732,0.85,0.0001049041748046875
CYP2D6_Veith,0,mcc,max_oob_error,repeated_edited_nearest_neighbours,RepeatedEditedNN,20,0.44107021759059994,0.0197347335533218,0.4491176690471699,0.022587907565424142,-0.008047451456569835,-0.005235463683848085,0.25,0.9734153747558594
CYP2D6_Veith,0,mcc,max_oob_error,smoten,SMOTEN,20,0.44107021759059994,0.0197347335533218,0.37945834044433696,0.019730740667799312,0.06161187714626302,0.053594230994870706,1.0,9.5367431640625e-07
CYP2D6_Veith,0,mcc,max_oob_error,tomek_links,TomekLinks,20,0.44107021759059994,0.0197347335533218,0.41534240104055165,0.019963163806272246,0.02572781655004829,0.02433402669521756,0.95,1.9073486328125e-06
CYP3A4_Veith,0,mcc,max_oob_error,all_knn,AllKNN,20,0.5204606204739746,0.0314988061106145,0.48098917623128445,0.02500095984685718,0.039471444242690154,0.0377014992147838,1.0,9.5367431640625e-07
CYP3A4_Veith,0,mcc,max_oob_error,balanced,Balanced,20,0.5204606204739746,0.0314988061106145,0.5127092108792203,0.02418307030514102,0.007751409594754119,0.0040442526435624515,0.65,0.026584625244140625
CYP3A4_Veith,0,mcc,max_oob_error,balanced_diverse,Balanced Diverse,20,0.5204606204739746,0.0314988061106145,0.5153077273546345,0.02410215140740191,0.005152893119340085,0.004518395602334607,0.65,0.06636333465576172
CYP3A4_Veith,0,mcc,max_oob_error,condensed_nearest_neighbour,CondensedNN,20,0.5204606204739746,0.0314988061106145,0.42492197409913546,0.020049767809479986,0.09553864637483904,0.09928131661039188,1.0,9.5367431640625e-07
