dataset,error,f_min_train_size,end_iter
CHEMBL229-2,30,211,255
CHEMBL229-2,40,210,255
CHEMBL231-1,0,211,277
CHEMBL231-1,10,158,277
CHEMBL231-1,20,149,277
CHEMBL231-1,30,230,277
CHEMBL231-1,40,254,277
CHEMBL232-1,0,99,250
CHEMBL232-1,10,84,250
CHEMBL232-1,20,134,250
CHEMBL232-1,30,136,250
CHEMBL232-1,40,72,250
CHEMBL2326-1,0,262,315
CHEMBL2326-1,10,259,315
CHEMBL2326-1,20,205,315
CHEMBL2326-1,30,238,315
CHEMBL2326-1,40,201,315
CHEMBL233-1,0,303,317
CHEMBL233-1,10,188,317
CHEMBL233-1,20,150,317
CHEMBL233-1,30,121,317
CHEMBL233-1,40,186,317
CHEMBL234-1,0,435,509
CHEMBL234-1,10,478,509
CHEMBL234-1,20,321,509
CHEMBL234-1,30,265,509
CHEMBL234-1,40,318,509
CHEMBL236-1,0,242,315
CHEMBL236-1,10,251,315
CHEMBL236-1,20,252,315
CHEMBL236-1,30,267,315
CHEMBL236-1,40,303,315
CHEMBL2366517-1,0,357,371
CHEMBL2366517-1,10,355,371
CHEMBL2366517-1,20,306,371
CHEMBL2366517-1,30,251,371
CHEMBL2366517-1,40,243,371
CHEMBL237-1,0,67,297
CHEMBL237-1,10,91,297
CHEMBL237-1,20,176,297
CHEMBL237-1,30,152,297
CHEMBL237-1,40,170,297
CHEMBL238-1,0,303,471
CHEMBL238-1,10,346,471
CHEMBL238-1,20,286,471
CHEMBL238-1,30,353,471
CHEMBL238-1,40,229,471
CHEMBL240-1,0,391,482
CHEMBL240-1,10,371,482
CHEMBL240-1,20,412,482
CHEMBL240-1,30,443,482
CHEMBL240-1,40,424,482
CHEMBL240-2,0,204,461
CHEMBL240-2,10,293,461
CHEMBL240-2,20,348,461
CHEMBL240-2,30,321,461
CHEMBL240-2,40,259,461
CHEMBL245-1,0,138,549
CHEMBL245-1,10,151,549
CHEMBL245-1,20,188,549
CHEMBL245-1,30,265,549
CHEMBL245-1,40,132,549
CHEMBL2492-1,0,277,283
CHEMBL2492-1,10,278,283
CHEMBL2492-1,20,273,283
CHEMBL2492-1,30,164,283
CHEMBL2492-1,40,98,283
CHEMBL251-1,0,259,285
CHEMBL251-1,10,241,285
CHEMBL251-1,20,198,285
CHEMBL251-1,30,218,285
CHEMBL251-1,40,251,285
CHEMBL253-1,0,628,702
CHEMBL253-1,10,474,702
CHEMBL253-1,20,610,702
CHEMBL253-1,30,555,702
CHEMBL253-1,40,672,702
CHEMBL255-1,0,388,686
CHEMBL255-1,10,470,686
CHEMBL255-1,20,565,686
CHEMBL255-1,30,428,686
CHEMBL255-1,40,596,686
CHEMBL259-1,0,409,737
CHEMBL259-1,10,489,737
CHEMBL259-1,20,529,737
CHEMBL259-1,30,676,737
CHEMBL259-1,40,550,737
CHEMBL264-1,0,489,576
CHEMBL264-1,10,466,576
CHEMBL264-1,20,358,576
CHEMBL264-1,30,274,576
CHEMBL264-1,40,224,576
CHEMBL269-1,0,359,371
CHEMBL269-1,10,347,371
CHEMBL269-1,20,335,371
CHEMBL269-1,30,333,371
CHEMBL269-1,40,293,371
CHEMBL269-2,0,253,321
CHEMBL269-2,10,253,321
CHEMBL269-2,20,210,321
CHEMBL269-2,30,162,321
CHEMBL269-2,40,130,321
CHEMBL270-1,0,348,467
CHEMBL270-1,10,238,467
CHEMBL270-1,20,318,467
CHEMBL270-1,30,303,467
CHEMBL270-1,40,244,467
CHEMBL270-2,0,165,328
CHEMBL270-2,10,254,328
CHEMBL270-2,20,164,328
CHEMBL270-2,30,163,328
CHEMBL270-2,40,255,328
CHEMBL270-3,0,150,342
CHEMBL270-3,10,177,342
CHEMBL270-3,20,119,342
CHEMBL270-3,30,184,342
CHEMBL270-3,40,104,342
CHEMBL273-1,0,478,533
CHEMBL273-1,10,392,533
CHEMBL273-1,20,428,533
CHEMBL273-1,30,382,533
CHEMBL273-1,40,507,533
CHEMBL273-2,0,231,348
CHEMBL273-2,10,151,348
CHEMBL273-2,20,151,348
CHEMBL273-2,30,144,348
CHEMBL273-2,40,220,348
CHEMBL2820-1,0,439,465
CHEMBL2820-1,10,416,465
CHEMBL2820-1,20,392,465
CHEMBL2820-1,30,410,465
CHEMBL2820-1,40,398,465
CHEMBL284-1,0,189,278
CHEMBL284-1,10,198,278
CHEMBL284-1,20,226,278
CHEMBL284-1,30,239,278
CHEMBL284-1,40,201,278
CHEMBL287-1,0,235,323
CHEMBL287-1,10,188,323
CHEMBL287-1,20,189,323
CHEMBL287-1,30,284,323
CHEMBL287-1,40,267,323
CHEMBL2954-1,0,235,294
CHEMBL2954-1,10,197,294
CHEMBL2954-1,20,269,294
CHEMBL2954-1,30,239,294
CHEMBL2954-1,40,156,294
CHEMBL302-1,0,395,431
CHEMBL302-1,10,314,431
CHEMBL302-1,20,189,431
CHEMBL302-1,30,265,431
CHEMBL302-1,40,246,431
CHEMBL313-1,0,324,361
CHEMBL313-1,10,305,361
CHEMBL313-1,20,267,361
CHEMBL313-1,30,313,361
CHEMBL313-1,40,263,361
CHEMBL313-2,0,256,465
CHEMBL313-2,10,463,465
CHEMBL313-2,20,270,465
CHEMBL313-2,30,320,465
CHEMBL313-2,40,350,465
CHEMBL3155-1,0,224,238
CHEMBL3155-1,10,222,238
CHEMBL3155-1,20,127,238
CHEMBL3155-1,30,129,238
CHEMBL3155-1,40,111,238
CHEMBL318-1,0,381,390
CHEMBL318-1,10,348,390
CHEMBL318-1,20,341,390
CHEMBL318-1,30,327,390
CHEMBL318-1,40,291,390
CHEMBL318-2,0,234,300
CHEMBL318-2,10,181,300
CHEMBL318-2,20,164,300
CHEMBL318-2,30,285,300
CHEMBL318-2,40,79,300
CHEMBL3227-1,0,132,243
CHEMBL3227-1,10,235,243
CHEMBL3227-1,20,224,243
CHEMBL3227-1,30,219,243
CHEMBL3227-1,40,216,243
CHEMBL3371-1,0,315,378
CHEMBL3371-1,10,368,378
CHEMBL3371-1,20,287,378
CHEMBL3371-1,30,355,378
CHEMBL3371-1,40,253,378
CHEMBL344-1,0,397,547
CHEMBL344-1,10,422,547
CHEMBL344-1,20,521,547
CHEMBL344-1,30,426,547
CHEMBL344-1,40,424,547
CHEMBL344-2,0,226,301
CHEMBL344-2,10,267,301
CHEMBL344-2,20,261,301
CHEMBL344-2,30,256,301
CHEMBL344-2,40,198,301
CHEMBL3510-1,0,81,312
CHEMBL3510-1,10,124,312
CHEMBL3510-1,20,79,312
CHEMBL3510-1,30,91,312
CHEMBL3510-1,40,160,312
CHEMBL3729-1,0,209,289
CHEMBL3729-1,10,182,289
CHEMBL3729-1,20,174,289
CHEMBL3729-1,30,196,289
CHEMBL3729-1,40,264,289
CHEMBL3759-1,0,545,583
CHEMBL3759-1,10,565,583
CHEMBL3759-1,20,526,583
CHEMBL3759-1,30,553,583
CHEMBL3759-1,40,542,583
CHEMBL3769-1,0,347,499
CHEMBL3769-1,10,360,499
CHEMBL3769-1,20,339,499
CHEMBL3769-1,30,368,499
CHEMBL3769-1,40,261,499
CHEMBL3837-1,0,395,396
CHEMBL3837-1,10,395,396
CHEMBL3837-1,20,305,396
CHEMBL3837-1,30,329,396
CHEMBL3837-1,40,183,396
CHEMBL3952-1,0,452,472
CHEMBL3952-1,10,353,472
CHEMBL3952-1,20,374,472
CHEMBL3952-1,30,279,472
CHEMBL3952-1,40,154,472
CHEMBL3952-2,0,351,409
CHEMBL3952-2,10,193,409
CHEMBL3952-2,20,254,409
CHEMBL3952-2,30,201,409
CHEMBL3952-2,40,239,409
CHEMBL3952-3,0,173,281
CHEMBL3952-3,10,230,281
CHEMBL3952-3,20,214,281
CHEMBL3952-3,30,166,281
CHEMBL3952-3,40,186,281
CHEMBL4005-1,0,484,493
CHEMBL4005-1,10,271,493
CHEMBL4005-1,20,289,493
CHEMBL4005-1,30,337,493
CHEMBL4005-1,40,317,493
CHEMBL4078-1,0,137,277
CHEMBL4078-1,10,221,277
CHEMBL4078-1,20,244,277
CHEMBL4078-1,30,204,277
CHEMBL4078-1,40,202,277
CHEMBL4105864-1,0,181,314
CHEMBL4105864-1,10,193,314
CHEMBL4105864-1,20,273,314
CHEMBL4105864-1,30,278,314
CHEMBL4105864-1,40,92,314
CHEMBL4153-1,0,325,417
CHEMBL4153-1,10,417,417
CHEMBL4153-1,20,355,417
CHEMBL4153-1,30,376,417
CHEMBL4153-1,40,354,417
CHEMBL4361-1,0,224,285
CHEMBL4361-1,10,127,285
CHEMBL4361-1,20,199,285
CHEMBL4361-1,30,144,285
CHEMBL4361-1,40,189,285
CHEMBL4361-2,0,184,281
CHEMBL4361-2,10,234,281
CHEMBL4361-2,20,139,281
CHEMBL4361-2,30,138,281
CHEMBL4361-2,40,186,281
CHEMBL4616-1,0,331,345
CHEMBL4616-1,10,267,345
CHEMBL4616-1,20,220,345
CHEMBL4616-1,30,121,345
CHEMBL4616-1,40,168,345
CHEMBL4792-1,0,675,723
CHEMBL4792-1,10,608,723
CHEMBL4792-1,20,601,723
CHEMBL4792-1,30,614,723
CHEMBL4792-1,40,426,723
CHEMBL4792-2,0,218,284
CHEMBL4792-2,10,239,284
CHEMBL4792-2,20,284,284
CHEMBL4792-2,30,284,284
CHEMBL4792-2,40,271,284
CHEMBL4794-1,0,219,546
CHEMBL4794-1,10,416,546
CHEMBL4794-1,20,253,546
CHEMBL4794-1,30,212,546
CHEMBL4794-1,40,115,546
CHEMBL4860-1,0,168,553
CHEMBL4860-1,10,169,553
CHEMBL4860-1,20,207,553
CHEMBL4860-1,30,144,553
CHEMBL4860-1,40,91,553
CHEMBL4908-1,0,239,464
CHEMBL4908-1,10,336,464
CHEMBL4908-1,20,284,464
CHEMBL4908-1,30,417,464
CHEMBL4908-1,40,371,464
CHEMBL4908-2,0,149,275
CHEMBL4908-2,10,171,275
CHEMBL4908-2,20,169,275
CHEMBL4908-2,30,263,275
CHEMBL4908-2,40,178,275
CHEMBL5071-1,0,525,549
CHEMBL5071-1,10,536,549
CHEMBL5071-1,20,380,549
CHEMBL5071-1,30,364,549
CHEMBL5071-1,40,434,549
CHEMBL5102-1,0,253,276
CHEMBL5102-1,10,252,276
CHEMBL5102-1,20,235,276
CHEMBL5102-1,30,202,276
CHEMBL5102-1,40,216,276
CHEMBL5112-1,0,191,306
CHEMBL5112-1,10,198,306
CHEMBL5112-1,20,197,306
CHEMBL5112-1,30,225,306
CHEMBL5112-1,40,247,306
CHEMBL5113-1,0,504,540
CHEMBL5113-1,10,374,540
CHEMBL5113-1,20,304,540
CHEMBL5113-1,30,310,540
CHEMBL5113-1,40,523,540
CHEMBL5113-2,0,436,511
CHEMBL5113-2,10,442,511
CHEMBL5113-2,20,306,511
CHEMBL5113-2,30,301,511
CHEMBL5113-2,40,268,511
